,text,Onlynouns,selectednouns
0,	予算編成方針についてお伺いします。例年月に予算編成方針が出され、西東京の来年度の予算編成が始まっております。厳しい財政状況のもと、何に重点を置き予算編成に取り組まれているか。また、これまでも質問があったですが、消費税の引き上げへの対応についてお聞かせください。,"['', '予算編成方針', '伺い', '例年月', '予算編成方針', '西東京', '来年度', '予算編成', '財政状況', 'もと', '重点', '予算編成', '消費税', '引き上げ', '対応']",['引き上げ']
1,今年度、この予算編成方針は月で市ホームページに既にアップをされています。これまでも予算編成過程の市民参加について提案をしてきておりますが、市民参加を進めるには、まず情報公開が必要であるは言うまでもありません。予算編成方針はからホームページで公開していただいていると思いますが、そろそろもう前進させる時期ではと考えます。武蔵野では、予算編成方針の公開とともに予算編成の流れも公開しています。西東京でもぜひ取り組むべきと考えます。見解をお聞かせください。,"['今年度', '予算編成方針', '月', '市ホームページ', 'アップ', '予算編成過程', '市民参加', '提案', '市民参加', '情報公開', '必要', '予算編成方針', 'ホームページ', '公開', '前進', '時期', '武蔵野', '予算編成方針', '公開', '予算編成', '流れ', '公開', '西東京', '見解']",
2,は泉の統廃合についてお伺いします。月、第教育委員定例で、小規模小学校（小学校・小学校・小学校・小学校）の適正規模・適正配置に関する基本方針が議案として上程され、「西東京学校施設適正規模・適正配置検討委員平成における小規模の統廃合に関する検討経過最終報告」が公開されました。翌に最終報告と新旧対照が、さらに翌日に最終報告説明開催案内が教育委員のホームページで公開をされています。このを受け具体な質問をさせていただきます。,"['泉', '統廃合', '伺い', '月', '教育委員定例', '小規模小学校小学校', '小学校', '小学校', '小学校', '適正規模', '適正配置', '基本方針', '議案', '上程', '西東京学校施設適正規模', '適正配置検討委員平成', '小規模', '統廃合', '検討経過最終報告', '公開', '最終報告', '新旧対照', '翌日', '最終報告説明開催案内', '教育委員', 'ホームページ', '公開', '具体']","['統廃合', '適正規模', '小規模', '統廃合', '最終報告']"
3,まず、指定がというに変更はないですけれども、泉に通う子どもに指定の住吉に移っていただくそのの準備として、なぜこの月議会に補正予算が組まれていないかをお伺いいたします。,"['指定', '変更', '泉', '子ども', '指定', '住吉', 'の準備', '月議会', '補正予算']",
4,に指定の指定についてお伺いいたします。東京の認める指定の定義をお聞かせいただきたいと思います。きのうまでの質問のでも、廃止に対して指定を支援するといった御答弁だったと思います。きのうの議員の一般質問のでも取り上げておられましたけれども、が違う学校に行き、しか行かなかったとしても、東京はそれを指定と認め財政支援をするでしょうか、改めてお聞かせください。さらに、財政支援や人的支援、備品の支援などが行われるとお聞きしておりますけれども、東京とどのな協議の過程を踏んでいつ決まるか、そういった内容をお聞かせください。,"['指定', '指定', '東京', '指定', '定義', 'きのう', '廃止', '指定', '支援', 'きのう', '学校', '東京', '指定', '財政支援', '財政支援', '人的支援', '備品', '支援', '東京', '協議', '過程', '内容']",
5,次に、子どもの心のケアについてお伺いいたします。カウンセラーの配置が最終報告でも明文化されておりますけれども、カウンセラーはもちろん、スクールソーシャルワーカーの配置が必要ではないかと考えております。子どもの現場に入って、子どもの環境調整、家庭も含めて環境の調整ができる、そういったスクールソーシャルワーカーの配置こそが今回の統廃合にも求められていると考えておりますので、それについての見解をお聞かせください。,"['子ども', '心', 'ケア', 'カウンセラー', '配置', '最終報告', '明文化', 'カウンセラー', 'スクールソーシャルワーカー', '配置', '必要', '子ども', '現場', '子ども', '環境調整', '家庭', '環境', '調整', 'スクールソーシャルワーカー', '配置', '今回', '統廃合', '見解']","['最終報告', '統廃合']"
6,また、泉の廃校の前年度に当たります来年度、と泉の交流についての予算措置、財政な支援があるはお聞きしたですけれども、泉の子どもの思い出にも何らかの支援が必要ではないかと思います。財政な支援が必要ではないかと思いますが、それについての御予定をお聞かせください。また、これまでもも質問をさせていただいておりますけれども、いまだに泉の子どもに説明がなされていないとお聞きしております。子どもへの説明についての見解と今後の予定をお聞かせください。,"['泉', '廃校', '前年度', '来年度', '泉', '交流', '予算措置', '財政', '支援', '泉', '子ども', '思い出', '支援', '必要', '財政', '支援', '必要', '予定', '泉', '子ども', '説明', '子ども', '説明', '見解', '今後', '予定']",
7,また、昨日の議員の一般質問の冒頭で、と第小がけやきに合併された、そういった意見が述べられていましたけれども、西東京になってから統廃合、具体には西原の場合はがになるという統合でしたけれども、この経験を踏んでいるです。今回の住吉と泉の統廃合とは随分様相は違うではあります。既に経験をしている学校の再編をどう評価・検証をして今回の小規模の統廃合に生かしているか。また、もちろんすぐにというではないとは思いますけれども、今回のの統廃合に当たって当然評価・検証する機会を持つが必要だと考えております。これについての御見解をお聞かせください。,"['昨日', '冒頭', '小がけ', '合併', '意見', '西東京', '統廃合', '具体', '西原', '場合', '統合', '経験', '今回', '住吉', '泉', '統廃合', '様相', '経験', '学校', '再編', '評価', '検証', '今回', '小規模', '統廃合', '今回', '統廃合', '評価', '検証', '機会', '必要', '見解']","['統廃合', '統廃合', '小規模', '統廃合', '統廃合']"
8,は、配慮が必要な子どもの環境整備についてお伺いをいたします。()特別支援学級の新設と増設についてお伺いいたします。第定例でも質問をさせていただきましたが、来年度から東、、青嵐に設置される特別支援学級の準備状況についてお伺いいたします。月には各校で保護の説明が開催されているというをお聞きしております。青嵐では在校生の保護の説明と生徒を対象とした中学校ののびる学級の先生を講師にお迎えし、出前講座にも取り組まれているをお聞きしております。設置の児童生徒への啓発に取り組むべきとの提案にお応えいただき大変ありがたく思っておりますが、実際に新しく設置される特別支援学級にお子さんを送り出す保護のからは、第小学校や栄小学校でも同様の取り組みを行ってほしい、そういった声が届いております。私もこの取り組みは重要と考えております。開設まであととなりました。どのに準備が進められているのかお聞かせください。,"['配慮', '必要', '子ども', '環境整備', '伺い', '特別支援学級', '新設', '増設', '定例', '来年度', '東', '青嵐', '設置', '特別支援学級', '準備状況', '月', '各校', '保護', '説明', '開催', '青嵐', '在校生', '保護', '説明', '生徒', '対象', '中学校', '学級', '先生', '講師', 'お迎え', '出前講座', '設置', '児童生徒', '啓発', '提案', '大変', '設置', '特別支援学級', 'お子さん', '保護の', '小学校', '栄小学校', '同様', '取り組み', '声', '取り組み', '重要', '開設', 'あと', '準備', 'かお']","['特別支援学級', '特別支援学級', '学級', '特別支援学級']"
9,()、通告では「普通学級」というに書かれておりますけれども、「通常学級」に改めさせていただきます。()通常学級への人員配置についてお伺いいたします。４月、特別支援教育が学校教育に位置づけられ、障害のある全ての児童生徒に対する教育より一層の充実が図られるとなり、西東京でも特別支援コーディネーターの配置や学習支援アドバイザーの派遣、指導補助の導入などに取り組まれています。特別支援教育検討委員、平成検討経過報告にも記載がありますが、昨年月の文部科学の調査で、全国の公立小中学校の通常学級に在籍する児童生徒の、人とコミュニケーションがうまくとれないなどの発達障害の可能がある小中学生が.に上るがわかっています。推計で約に上り、学級でもにつきの割合となりますが、の児童生徒は特別な支援を受けておらず、専門から支援を話し合う校内委員などが十分に機能していないと指摘されています。学年に見ると、小学が最多で.。以降学年が上がるにつれて減少し、小学が.、小学が.、中学が.、中学が.。この傾向については、周囲の教員や児童生徒の理解が深まるが適切な対応につながり当該児童生徒が落ちつく可能がある。学年が上がるにつれ学校においての生活経験を積み、友人関係ができる、あるいは部活動にやりがいを見出すなどにより、当該児童生徒が学校に適応できるになる可能がある。低学年では学習や行動の問題は見えやすいが、高学年になるにつれてさまざまな問題が錯綜し見えにくくなる可能もあるといったが指摘され、今後の調査研究に委ねられています。専門による協力会議は、今後の対応について、通常の学級においては学級規模を小さくするや複数教員にするなど、指導方法の工夫改善を進めるが必要だと指摘しています。さて、市内公立学校でも配慮を必要とする子を支援するにさまざまな取り組みが行われています。地域住民のボランティアに支えられているケースもあるとお聞きしているですが、必要な支援が適切に行われているか疑問があります。現在の支援の状況をお聞かせください。,"['通告', '普通学級', '通常学級', '通常学級', '人員配置', '4月', '特別支援教育', '学校教育', '障害', '全て', '児童生徒', '教育', '充実', '西東京', '特別支援コーディネーター', '配置', '学習支援アドバイザー', '派遣', '指導補助', '導入', '特別支援教育検討委員', '平成検討経過報告', '記載', '年月', '文部科学', '調査', '全国', '公立小中学校', '通常学級', '在籍', '児童生徒', '人', 'コミュニケーション', '発達障害', '可能', '小中学生', '推計', '学級', '割合', '児童生徒', '特別', '支援', '専門', '支援', '校内委員', '十分', '機能', '指摘', '学年', '小学', '最多', '以降学年', '減少', '小学', '小学', '中学', '中学', '傾向', '周囲', '教員', '児童生徒', '理解', '適切', '対応', 'つながり当該児童生徒', '可能', '学年', '学校', '生活経験', '友人関係', '部活動', 'やりがい', '当該児童生徒', '学校', '適応', '可能', '学年', '学習', '行動', '問題', '高学年', 'さまざま', '問題', '錯綜', '可能', '指摘', '今後', '調査研究', '専門', '協力会議', '今後', '対応', '通常', '学級', '学級規模', '複数教員', '指導方法', '工夫改善', '必要', '指摘', '市内公立学校', '配慮', '必要', '子', '支援', 'さまざま', '取り組み', '地域住民', 'ボランティア', 'ケース', '必要', '支援', '適切', '疑問', '現在', '支援', '状況']","['特別支援教育', '学級', '学級', 'ボランティア']"
10,、放射能汚染対策の見解と今後の取り組みについてお伺いいたします。３月、東日本大震災と東京電力福島第原子力発電の事故からが過ぎようとしています。原発事故は大量の放射物質をまき散らし、空と大地と海を汚し、いまだ収束を見ません。西東京も放射能汚染問題と向き合っています。原発事故から時間がたち、社会な関心は薄れてきたにも感じますが、社会関心にかかわらず、放射能汚染は存在し続けます。空間放射線の測定についての取り組みの状況は、一般質問初日の議員の質問で明らかになっておりますので、今後も継続して取り組んでいただけるかどうかだけ確認をさせてください。,"['放射能汚染対策', '見解', '今後', '取り組み', '3月', '東日本大震災', '東京電力福島', '原子力発電', '事故', '原発事故', '大量', '放射物質', '空', '大地', '海', '収束', '西東京', '放射能汚染問題', '原発事故', '時間', '社会', '関心', '社会関心', '放射能汚染', '存在', '空間放射線', '測定', '取り組み', '状況', '明らか', '今後', '継続', '確認']","['東日本大震災', '測定']"
11,給食食材の放射物質の測定については、昨年９月に消費から貸与を受けた放射物質検査機器により、市内の市立小中学校、市立保育園、私立保育園、幼稚園などの給食食材の測定が実施されています。この取り組みについての現状の見解と今後の見通しをお聞かせください。,"['給食食材', '放射物質', '測定', '昨年9月', '消費', '貸与', '放射物質検査機器', '市内', '市立小中学校', '市立保育園', '私立保育園', '幼稚園', '給食食材', '測定', '実施', '取り組み', '現状', '見解', '今後', '見通し']","['測定', '測定']"
12,最後になります。食推進計画についてお伺いいたします。市民が食について意識を高め、健全な食生活を実践し、豊かな人間を育み、生きる基礎を形づくるを目指し、（仮称）第西東京推進計画の策定に当たって、月までのパブリックコメントが実施されていました。検討結果の公表予定時期は来年１月というですので楽しみに待ちたいと思いますが、幾つか質問をさせていただきたいと思います。,"['最後', '食推進計画', '市民', '食', '意識', '健全', '食生活', '実践', '豊か', '人間', '基礎', '仮称', '西東京推進計画', '策定', '月', 'パブリックコメント', '実施', '検討結果', '公表予定時期', '来年1月', '楽しみ', '幾つ']",['パブリックコメント']
13,まず１つは、現行計画にもうたわれている食の安全・安心に関するリスクコミュニケーションについて市の考えをお聞かせください。もう、ほかの計画策定でも質問させていただいているですが、パブリックコメントで提出いただいた意見の反映についてお伺いします。現行計画に基づきさまざまな事業が実施されてきた。また、第計画の策定に当たって、パブリックコメントの初日に説明を開催されるなどの取り組みは高く評価するですが、この間、さまざまな計画のパブリックコメント実施を通して市民から厳しい意見をいただいているも事実としてあります。市民の意見を柔軟に反映させていくにパブリックコメントの実施時期を前倒しするも検討するが必要と考えます。見解をお聞かせください。,"['現行計画', '食', '安全', '安心', 'リスクコミュニケーション', '市', '考え', 'ほか', '計画策定', 'パブリックコメント', '提出', '意見', '反映', '伺い', '現行計画', 'さまざま', '事業', '実施', '計画', '策定', 'パブリックコメント', '初日', '説明', '開催', '取り組み', '評価', 'この間', 'さまざま', '計画', 'パブリックコメント実施', '市民', '意見', '事実', '市民', '意見', '柔軟', '反映', 'パブリックコメント', '実施時期', '前倒し', '検討', '必要', '見解']","['パブリックコメント', 'パブリックコメント', 'パブリックコメント']"
14,での質問を終わります。御答弁によって再質問させていただきますので、よろしくお願いいたします。,['お願い'],
15,〔市長登壇〕,[],
16,	:◯市長（）子議員の一般質問にお答えします。,[''],
17,初めに、予算編成に関する御質問をかいただきましたが、まず選択と集中の考え方でございます。これまでにも申し上げてまいりましたが、予算編成方針におきましては、子育て・教育環境の充実や市民健康の支援、災害に強く快適なまち、そして地域資源の活用、地域産業の活性などを本市の重要課題として挙げております。これらの課題を可能な早期に解決していくには、限られた財源ので、総合計画と行財政改革を両輪とした選択と集中を行っていくが肝要であると考えております。,"['初め', '予算編成', '選択', '集中', '考え方', '予算編成方針', '子育て', '教育環境', '充実', '市民健康', '支援', '災害', '快適', 'まち', '地域資源', '活用', '地域産業', '活性', '本市', '重要課題', '課題', '可能', '早期', '解決', '財源', '総合計画', '行財政改革', '両輪', '選択', '集中', '肝要']","['災害', '重要課題', '行財政改革', '両輪']"
18,次に、消費税率改定への対応でございますが、国からも消費税増税の価格転嫁を拒むのない広く求められておるでございますが、本市におきましても、予算編成に当たっては税率改定の影響を的確に把握したで適切に見積もるに指示しているでございます。,"['消費税率改定', '対応', '国', '消費税増税', '価格転嫁', '本市', '予算編成', '税率改定', '影響', '的確', '把握', '適切', '指示']",
19,最後に、予算編成過程における情報公開についてお答え申し上げます。これまでも予算編成過程の情報といたしましては、予算要求の概要を作成・公表してまいりました。予算編成の情報公開につきましては、時間な制約など物理に困難な面もございますが、今後さらに見やすくわかりやすいにしていくに、引き続き検討してまいりたいと考えております。,"['最後', '予算編成過程', '情報公開', '予算編成過程', '情報', '予算要求', '概要', '作成', '公表', '予算編成', '情報公開', '時間', '制約', '物理', '困難', '面', '今後', '検討']",
20,"次に、放射能汚染対策の見解と今後の取り組みについてお答え申し上げます。給食食材の放射物質測定については、平成９月より本年までに,検体の測定を行ってきたでございます。測定結果につきましては、厚生労働省が定めた基準を超える数値は検出されておらず、測定結果は市ホームページで公表しております。保育園や学校の給食食材を市が測定し結果をお知らせするによって、保護の方々に、より安心していただけると考えております。給食食材の放射物質の測定並びに空間放射線の測定につきましては今後も継続して実施してまいりたいと考えております。","['放射能汚染対策', '見解', '今後', '取り組み', '給食食材', '放射物質測定', '平成9月', '本年', ',検体', '測定', '測定結果', '厚生労働省', '基準', '数値', '検出', '測定結果', '市ホームページ', '公表', '保育園', '学校', '給食食材', '市', '測定', '結果', 'お知らせ', '保護', '方々', '安心', '給食食材', '放射物質', '測定', '空間放射線', '測定', '今後', '継続', '実施']","['測定', '保育園', '測定', '測定', '測定']"
21,続きまして、食推進計画についてお答え申し上げます。西東京推進計画は、本年度をもって第の計画期間が終了するから、平成からを計画期間とする次期計画の策定作業を進めております。本年７月に西東京健康推進協議へ諮問し、策定にかかわる検討を重ねております。本協議は、市民委員を含むの委員で構成され、協議のでもさまざまな御意見をいただいているでございます。,"['食推進計画', '西東京推進計画', '年度', '計画期間', '終了', '平成', '計画期間', '次期計画', '策定作業', '本年7月', '西東京健康推進協議', '諮問', '策定', '検討', '協議', '市民委員', 'の委員', '構成', '協議', 'さまざま', '意見']",
22,食の安全・安心に関するリスクコミュニケーションについてでありますが、昨今の食物アレルギーや産地偽装、食を取り巻く環境の変化について適切な対応を図れる、これまで同様努めてまいりたいと考えております。,"['食', '安全', '安心', 'リスクコミュニケーション', '昨今', '食物アレルギー', '産地偽装', '食', '環境', '変化', '適切', '対応', '同様']",
23,また、計画策定に対する市民参加手続全般についての御質問をいただきました。次期計画に関しましては、市民参加条例に基づきまして市民の方々の御参加もいただきながら、現在策定作業を進めているでございます。,"['計画策定', '市民参加手続全般', '次期計画', '市民参加条例', '市民', '方々', '参加', '現在策定作業']",['市民参加条例']
24,	:◯教育（）初めに、小学校の統廃合についてお答えいたします。泉小学校の統廃合に関する最終報告では、速やかに（仮称）学校施設大規模改造計画を策定し、これに基づき統合に伴う改修に続き早期に小学校の大規模改造工事を進めていくと記載いたしました。学校施設の大規模改造工事を行う場合は、授業への影響を考慮し、夏休みの長期休業に行うが通例でございます。仮に今定例において補正予算を組んだ場合でも、工事の設計に要する期間を考慮すると、来年度の夏休みに工事を行うは困難なスケジュールとなり、その次の工事実施時期は再来年度の夏休みとなります。その、来年度の当初予算に組み込んだ場合も、工事の実施時期に変化がないを確認したというが今定例で補正予算を組まなかった理由でございます。,"['', '◯教育初め', '小学校', '統廃合', '泉小学校', '統廃合', '最終報告', '速やか', '仮称学校施設', '規模改造計画', '策定', '統合', '改修', '早期', '小学校', '規模改造工事', '記載', '学校施設', '規模改造工事', '場合', '授業', '影響', '考慮', '夏休み', '長期休業', '通例', '定例', '補正予算', '場合', '工事', '設計', '期間', '考慮', '来年度', '夏休み', '工事', '困難', 'スケジュール', '次', '工事実施時期', '再来年度', '夏休み', '来年度', '当初予算', '場合', '工事', '実施時期', '変化', '確認', '今定例', '補正予算', '理由']","['統廃合', '泉小学校', '統廃合', '最終報告']"
25,次に、指定を小学校といたしました理由でございますが、小学校の在校児童が全員一緒に移動し、交友関係を維持できるにするが児童にとって最大の負担軽減であるから、小学校の児童を分割するなく１つの学校に移動させるが重要であり、移動する先として小学校が最善と判断したからでございます。,"['指定', '小学校', '理由', '小学校', '在校児童', '全員一緒', '移動', '交友関係', '維持', '児童', '最大', '負担軽減', '小学校', '児童', '分割', '学校', '移動', '重要', '移動', '先', '小学校', '最善', '判断']","['移動', '交友関係', '移動', '移動']"
26,次に、スクールソーシャルワーカーについてでございますが、スクールソーシャルワーカーは、主に環境への働きかけ、関係機関とのネットワークの構築、連携・調整、学校におけるチーム体制の構築、保護・教職員に対する支援・相談、情報提供などを職務としております。本市におきましては、教育支援アドバイザーや臨床心理である学校巡回相談など、さまざまな専門が学校を支援していく仕組みを構築し、教員やスクールカウンセラーと連携するで子どもの心のケアや関係機関との連携の支援を行っているでございます。スクールソーシャルワーカーにつきましては、今後も教員やスクールカウンセラー、また、学校巡回相談の後方支援として、事例検討やスーパーバイズを職務としていきたいと考えております。,"['スクールソーシャルワーカー', 'スクールソーシャルワーカー', '主', '環境', '働きかけ', '関係機関', 'ネットワーク', '構築', '連携', '調整', '学校', 'チーム体制', '構築', '保護', '教職員', '支援', '相談', '情報提供', '職務', '本市', '教育支援アドバイザー', '臨床心理', '学校巡回相談', 'さまざま', '専門', '学校', '支援', '仕組み', '構築', '教員', 'スクールカウンセラー', '連携', '子ども', '心', 'ケア', '関係機関', '連携', '支援', 'スクールソーシャルワーカー', '今後', '教員', 'スクールカウンセラー', '学校巡回相談', '後方支援', '事例検討', 'スーパーバイズ', '職務']",
27,次に、小学校の児童の思い出につきましては、学校と調整しながら、どのな手法があるかを検討してまいりたいと考えております。児童への統廃合の説明につきましては、時期と方法について、学校やスクールカウンセラーと相談しながら適切な時期に行ってまいりたいと考えております。なお、指定に対する国及び東京の補助、小学校と第小学校の統廃合に関する御質問につきましては担当部長より答弁いたします。,"['小学校', '児童', '思い出', '学校', '調整', '手法', '検討', '児童', '統廃合', '説明', '時期', '方法', '学校', 'スクールカウンセラー', '相談', '適切', '時期', '指定', '国', '東京', '補助', '小学校', '小学校', '統廃合', '担当部長']","['統廃合', '統廃合']"
