,text,Onlynouns,selectednouns
0,	市長選挙でございこれも本当数多く同僚から質問がございが改めて市長選挙お伺いしたいと思い,"['', '本当', '同僚', '伺い']",
1,市長は月記者会見行いチャレンジ表明されここでは市長がチャレンジへ決意お伺いたいと思い市長は記者会見で配付された資料で次世代へ責任果たす政治そして次ステージへと述べられてが間市政運営へ思いお聞かせたいと思い,"['月記者会見行いチャレンジ表明', 'チャレンジ', '決意', '記者会見', '配付', '資料', '次世代', '責任', '政治', 'ステージ', '間市政運営']",
2,記者会見で道半ばともおっしゃっていが表現意味ところお聞かせたいと思い,"['記者会見', '道半ば', '表現意味ところ']",
3,また再選された場合取り組み今お考えなっていらっしゃるで結構でお聞かせたいと思い,"['再選', '場合']",
4,民間賃貸住宅へ入居支援お伺いたいと思い今年度から西東京では保証が見つからない等理由より民間賃貸住宅へ入居や居住継続お困り対し西東京と協定結んだ保証会社と協力して住宅探しや保証契約あっせんなど行ってまた一定要件対しては保証委託料一部助成ってな住宅セーフティネット取り組み内容とこれまで実績お伺い,"['民間賃貸住宅', '入居支援', '今年度', '西東京', '保証', '理由', '民間賃貸住宅', '入居', '居住継続', '西東京', '協定', '保証会社', '協力', '住宅', '保証契約あっせん', '一定要件', '保証委託料一部助成', '住宅セーフティネット取り組み内容', '実績', '伺い']",
5,ひばりヶ丘周辺まちお伺いまずひばりヶ丘北口バリアフリーでございが第定例御答弁で西武鉄道よるひばりヶ丘北口バリアフリー設計がおくれているよりことし８月までであった設計期限が平成３月まで延びたで西武鉄道と設計作業進捗状況並び西武鉄道と協議進捗状況お聞かせも前回できるは前倒しで協議していくと御答弁いただいてでそれも含めてお聞かせたいと思い,"['ひばりヶ丘周辺まち', '伺い', 'ひばりヶ丘北口バリアフリー', '定例', '西武鉄道', 'ひばりヶ丘北口バリアフリー設計', 'ことし8月', '設計期限', '平成3月', '西武鉄道', '設計作業進捗状況並び西武鉄道', '協議進捗状況', '前回', '前倒し', '協議']",
6,続きましてこれは間ずっと質問取り上げさせていただいてがひばりヶ丘北口自転車駐車お伺いたいと思い駅北口自転車駐車が不足している現状が西東京としてどな対応行っているか点は同僚へ御答弁もございが改めてお伺いたいと思い,"['間', 'ひばりヶ丘北口自転車駐車', '駅北口自転車駐車', '不足', '現状', '西東京', '対応', '点', '同僚']",
7,続きましてひばりヶ丘東側保谷第踏切お伺い踏切危険は間となく訴えてまいりが都度西武鉄道が難しいと言っていると御答弁でございしかし国土交通省緊急対策踏切速効対策構造改良として狭い踏切歩道設置や歩道拡幅また車道拡幅が示されて保谷第踏切は踏切が道路幅より狭くなっているから朝夕は車また自転車そして歩行が踏切でふくそうして大変危険な状況となっているでござい鉄道連続立体交差事業行えば解消問題ではが西武池袋はすぐ事業が開始される状況ではないから踏切拡幅より少しでも危険除去が可能とからたびたび取り上げてまいりが西武鉄道と協議お聞かせたいと思い,"['ひばりヶ丘東側保谷', '踏切', '伺い踏切危険', '間', '都度西武鉄道', '国土交通省緊急対策踏切速効対策構造改良', '踏切歩道設置', '歩道拡幅', '車道拡幅', '保谷', '踏切', '踏切', '道路幅', '朝夕', '車', '自転車', '歩行', '踏切', 'ふくそう', '大変危険', '状況', '鉄道連続立体交差事業', '解消問題', '西武池袋', '事業', '開始', '状況', '踏切拡幅', '危険除去', '可能', '西武鉄道', '協議']",
8,続きまして点もか取り上げてまいりがひばりヶ丘北口私道寄附でござい皆様も御存じひばりヶ丘北口周辺は都市計画道路が整備されたも多く道路は私道でから道路が傷んでも署名捺印集めて補修工事行わなくてはません署名捺印集めるは大変な労力がかかるからなかなか進まないが現状でござい私道寄附つきましては条件が厳しいから寄附が進まないと言われて私道寄附条件緩和が行えないか点御見解お願い,"['点', 'ひばりヶ丘北口私道寄附', '御存じひばりヶ丘北口周辺', '都市計画道路', '整備', '道路', '私道', '道路', '署名捺印', '補修工事', '署名捺印', '大変', '労力', '現状', '私道寄附', '条件', '寄附', '私道寄附条件緩和', '点', '見解お願い']",
9,白子周辺雨水対策お伺い白子周辺つきましてはことし８月台風接近より道路冠水被害が発生白子雨水対策としては平成都市計画道路道路雨水貯留整備したから西武池袋北側白子周辺雨水対策が一定進んだ思ってが実際は貯留施設は使えなかった理由お聞かせたいと思い,"['白子周辺雨水対策', '伺い白子周辺', 'ことし8月台風接近', '道路冠水被害', '発生白子雨水対策', '平成都市計画道路道路雨水貯留整備', '西武池袋北側白子周辺雨水対策', '一定', '貯留施設', '理由']",
