,text,Onlynouns,selectednouns
0,	旧田無都市計画道路武蔵境保谷の交通開放が行われましたそれに伴い一般車両バス歩行の流れが変わり北原交差点付近の渋滞解消と歩行の安全が確保されましたと言いたいですがそうならば今回の私の質問はないであります旧田無時代の平成第定例休会の建設環境委員ので当時の担当課長より説明があり北原交差点の交通開放については田無としては東京と警視庁の取り決めに従うしかなくやってみなければわからないとのでしたその後同年６月の第定例においてはお亡くなりになった田井議員の御質問に対し苦情が市に警察に都の北多摩南部建設事務所にあったとのであります当時合併に関する市民意識調査の結果発表にもあるに「高齢福祉の充実」についての次に「安心して歩ける道路の整備」が挙げられておりますしかし警視庁と東京の机上の理論だけが先行してしまい当時の行政努力は聞き入れられなかったと思います,"['', '田無都市計画道路武蔵境保谷', '交通開放', '一般車両バス歩行', '流れ', '北原交差点付近', '渋滞解消', '歩行', '安全', '確保', '今回', '田無時代', '平成', '定例休会', '建設環境委員', '当時', '担当課長', '説明', '北原交差点', '交通開放', '田無', '東京', '警視庁', '取り決め', 'その後同年6月', '定例', '苦情', '市', '警察', '都', '北多摩南部建設事務所', '当時合併', '市民意識調査', '結果発表', '高齢福祉', '充実', '安心', '道路', '整備', '警視庁', '東京', '机上', '理論', '先行', '当時', '行政努力']",
1,その後９月の第定例において私がこの交差点についての質問をした末木市長の御答弁は御意見御要望だけでもでに達したとされておりその内容としては旧交差点の信号がなくなり不便になったバスルートの変更により駅までの時間がかかるになった旧交差点から網元前までの歩道が狭く危険であるなどですまた新青梅街道の一部の幹線道路はほとんどが災害となっており望ましい道路体系を形づくっておりませんとも言われておりました合併も同様の質問が多くの議員から出されております平成には議員から交差点については都道の拡張工事により道路そのものは広く改善されたが交通事故は減っているとは必ずしも言えないむしろ違った形での事故や渋滞も出ており根本な解決はできないではないかとの質問に対し市長も田無に質問と同趣旨の苦言を呈したが田無では車の流れはスムーズになっているとの見解が示された抜本な対応として広範囲な道路の整備を解決していくが重要であると御答弁をされておりますまた平成９月には蔵野議員の質問に対し交差点は最も危険な交差点であると思っている云々と御答弁されております続いて本年９月の議員の同趣旨の質問に対しましても前述の答弁と同様の御答弁をされております都道であるという警視庁の交通安全委員の指示が大きいなどにより市独自ではなかなかやりにくいは重々承知ので通告のまずは今後市として東京と連携してどのな施策を講じていくか伺います,"['その後9月', '定例', '交差点', '意見', '要望', '内容', '交差点', '信号', '不便', 'バスルート', '変更', '駅', '時間', '交差点', '網元前', '歩道', '危険', '青梅街道', '一部', '幹線道路', '災害', '道路体系', '合併', '同様', '多く', '平成', '交差点', '都道', '拡張工事', '道路そのもの', '改善', '交通事故', '形', '事故', '渋滞', '根本', '解決', '田無', '趣旨', '苦言', '田無', '車', '流れ', 'スムーズ', '見解', '抜本', '対応', '広範囲', '道路', '整備', '解決', '重要', '平成9月', '交差点', '危険', '交差点', '云々', '本年9月', '趣旨', '前述', '同様', '都道', '警視庁', '交通安全委員', '指示', '市独自', '重々承知', '通告', '今後市', '東京', '連携', '施策']","['交差点', '交差点', '交差点', '交差点', '交差点', '交差点']"
2,通告にはないですが実は地元のから言われてもしお答えになられたらでいいですがお聞きしたいがもう１つありますこの交差点付近の交通問題に関連しまして北原交番からの通行道路たについて地元自治よりオートバイの通行の逆走が頻繁で危険である空き交番になっておりぜひ市から田無警察のへ働きかけをして取り締まりを強化してほしいの要望が私のに寄せられておりますぜひ担当より田無警察交通に働きかけていただきたいと思いますがこれについてどのにお考えか御答弁を願います,"['通告', '地元の', '交差点付近', '交通問題', '関連', '北原交番', '通行道路', '地元自治', 'オートバイ', '通行', '頻繁', '危険', '空き交番', '市', '田無警察の', '働きかけ', '取り締まり', '強化', '要望', '私の', '担当', '田無警察交通', '考え']",
3,続いて前述の交差点問題も含め公園問題の所管である部長が月よりかわられ本日このの質問に対しましても心機一転の覚めるな答弁をいただけると確信しておりますが本年６月の第定例でも質問いたしましたせせらぎ公園の今回特に自由の改修についての現状と今後の考えを伺います前部長の御答弁では観察のな形で利用しているが現状だが開園で想像できなかった問題が起きた今後は建設段階の初心に返り具体対応を考えていきたいとの御答弁をいただいておりますそこでその後の池の様子コイやカメの処置はどうされたかなどの現状及び前部長の言われていた当初の建設コンセプトに従った自由の改修はいつ行われるか伺います御答弁により再質問いたしますよろしくお願いいたします,"['前述', '交差点問題', '公園問題', '所管', '部長', '月', '本日', '心機一転', '確信', '本年6月', '定例', 'せせらぎ公園', '今回', '自由', '改修', '現状', '今後', '考え', '部長', '観察', '利用', '現状', '開園', '想像', '問題', '今後', '建設段階', '初心', '具体対応', 'その後', '池', '様子コイ', 'カメ', '処置', '現状', '部長', '当初', '建設コンセプト', '自由', '改修', 'お願い']",
4,〔市長保谷範登壇〕,[],
5,	:◯市長（保谷範）議員の御質問に答弁をさせていただきます,[''],
6,まず交通問題につきまして交差点付近の御質問をいただきました御質問にもございましたに平成５月にが開通するによりまして従来あった新青梅街道及び所沢街道の信号と横断歩道が廃止され中央分離を設置しているでございますこの横断歩道の廃止は東京警視庁及び市において十分な実地検証が行われたと思っておりましてその実地検証及び検討を図るで交差点付近の渋滞解消と歩行の安全確保をするにの開通により一般の車両及び歩行の流れを変えただという認識を持っております確かにこの交差点は渋滞が日常している交差点という位置づけを持っておるでございますけれどもこれをもとに戻すはいろいろな経緯から非常に難しいでございますしかしながら依然として交差点は全体には交通課題を抱えておりますので抜本総合な中長期の交通対策について引き続き警視庁及び道路管理である東京と協議をしていきたいとの歳月が流れているでございますので現状を踏まえまして協議してまいりたいと思っているでございます,"['交通問題', '交差点付近', '平成5月', '開通', '従来', '青梅街道', '所沢街道', '信号', '横断歩道', '廃止', '中央分離', '設置', '横断歩道', '廃止', '東京警視庁', '市', '十分', '実地検証', '実地検証', '検討', '交差点付近', '渋滞解消', '歩行', '安全確保', '開通', '一般', '車両', '歩行', '流れ', '認識', '確か', '交差点', '渋滞', '日常', '交差点', '位置づけ', 'もと', 'いろいろ', '経緯', '非常', '交差点', '全体', '交通課題', '抜本総合', '中長期', '交通対策', '警視庁', '道路管理', '東京', '協議', '歳月', '現状', '協議']","['開通', '開通', '交差点', '交差点', '交差点']"
7,２つの御質問でございますけれどもせせらぎ公園の自由改修について現状と今後の考えを伺うという御質問をいただきました御存じのにこの公園は明治薬科大学跡地につくられまして田無発祥の地である歴史を語り継ぎそして子どもからお年寄りまでさまざまな年齢が集う地域コミュニティの場でありまた原っぱと水辺を中心とした身近な自然に会えるをコンセプトとして市民参加により整備された公園でございますこの公園の利用形態の一つといたしまして平成に生涯学習社会教育において西東京まちの子育成事業「やとっぱ遊びの」としましてプレイリーダーの指導のもと現在活動されているでございます不幸にして開園間近の平成４月に自由において幼児の転落事故が発生いたしましてその後危険防止のに池の周りに防護さくを設置したでございます公園でございますので可能な自由に使ってもらうが原則でございますけれども事故があればまた別問題というで今対策を練っているでございます,"['せせらぎ公園', '自由改修', '現状', '今後', '考え', '御存じ', '公園', '明治薬科大学跡地', '田無発祥', '地', '歴史', '子ども', '年寄り', 'さまざま', '年齢', '地域コミュニティ', '場', '原っぱ', '水辺', '中心', '身近', '自然', 'コンセプト', '市民参加', '整備', '公園', '公園', '利用形態', '一つ', '平成', '生涯学習社会教育', '西東京まち', '育成事業', 'とっぱ遊び', 'プレイリーダー', '指導', 'もと現在活動', '不幸', '開園間近', '平成4月', '自由', '幼児', '転落事故', '発生', 'その後危険防止', '池', '周り', '防護さく', '設置', '公園', '可能', '自由', '原則', '事故', '問題', '対策']",
8,の御質問の御質問また一方通行の件につきましても担当部長より答弁をさせていだきます,"['通行', '件', '担当部長']",
9,	:◯都市整備部長（朝）それではまず交通問題について市長に補足してお答え申し上げます,"['', '◯都市整備部長朝', '交通問題', '補足']",
10,まず交差点の問題でございますが現在もかなりの渋滞が発生しておりまして非常に交通安全も危惧をされているでございますこの間市長から御答弁申しましたに交差点の問題につきましては種々検討を重ねてまいりました現状といたしましては北多摩南部建設事務所を中心といたしまして東京我々と警察のと交差点委員というが設立されておりましてそこで長期に解決すべき問題を検討しているでございます当面の問題といたしましては短期解決として歩道の問題があるでございますけれどもそれにつきましては用地買収による北側の歩道拡幅あるいは歩道橋の橋げたを移設して歩道を拡幅する方法あるいは現道内における車道の縮小により歩道の拡幅か解決があるというに見られておりますこのあたりにつきまして東京ので検討をしている状況でございますのでいましばらく時間をいただきたいと思います長期な課題といたしましてはさまざま関係する交通あるいは駐輪場その他いろいろあるですけれどもこれらに絡めまして検討委員を中心として私も意見を申し上げていきたいと考えております協議の主たる当事者といいますか警視庁及び田無警察西東京それから埋設といいますか建築の関係でいいますと電柱それから現在サイドに位置します土地所有の関係がありますのでそれらを総合に含めてこの問題の解決に当たっていきたいと考えております,"['交差点', '問題', '現在', 'かなり', '渋滞', '発生', '非常', '交通安全', '危惧', '交差点', '問題', '検討', '現状', '北多摩南部建設事務所', '中心', '東京我々', '警察の', '交差点委員', '設立', '長期', '解決', '問題', '検討', '当面', '問題', '短期解決', '歩道', '問題', '用地買収', '北側', '歩道拡幅', '歩道橋', '橋げた', '移設', '歩道', '拡幅', '方法', '道内', '車道', '縮小', '歩道', '拡幅', '解決', 'あたり', '東京', '検討', '状況', 'いま', '時間', '長期', '課題', 'さまざま関係', '交通', '駐輪場その他', '検討委員', '中心', '意見', '協議', '当事者', '警視庁', '田無警察西東京それ', '埋設', '建築', '関係', '電柱それ', '現在サイド', '位置', '土地所有', '関係', '総合', '問題', '解決']","['交差点', '交差点', '検討委員']"
