,text,Onlynouns,selectednouns
0,	高齢福祉に絞って質問をしたいと思います,"['', '高齢福祉']",
1,合併の意向調査のも高齢福祉の充実が一番の市民の願いでしたまたほかのアンケート調査でも高齢福祉の充実は常に上位にありますそして今西東京はマンションラッシュもあり人口が大変ふえています先日の決算委員でも敬老が予算を超えたは高齢の増加が予測を超えていたがわかりました西東京高齢保健福祉計画の推計でも特にの後期高齢の増加はからの前期高齢の増加より加速がついておりにはほぼ同率の後期高齢が.前期高齢が.ですがには逆になり後期高齢が前期高齢が.と合わせて高齢.と推計されていますそして現在の高齢は.で推計では今年度.でしたからほぼ推計の伸びと言えますこうした状況ので西東京の高齢の生活状況はどのになっているでしょうか西原では夫の死を妻が認識できないでいたというがあり芝久保では地域の人との交流のない姉と弟が亡くなっているというが新聞報道されましたしかしその後も亡くなってかわからなかったなどの話を耳にするがありますこうした孤独の発生を少しでも防ごうとささえあいネットワークが動き始めましたが昨日の答弁では協力に団体が登録をしているというですがまだ機能しているという状態にはありませんまたさまざまなアンケート調査民生委員によるふれあい訪問介護保険の見直し準備のの調査なども予定をされていると思います西東京地域福祉計画では「目標サービス利用に結びついていない要支援への対応」で現状から見た課題として「例えば周囲との関係を持たずに孤立した生活を余儀なくされている人や虐待を受けている人閉じこもりの人などいわば福祉サービスの対象の「はざま」にいた人々に対しても個人のプライバシーに配慮しながら必要な支援を行うが求められますこうした人の発見・対応は行政のみで実施するは難しいから地域の民生委員・児童委員をはじめ幅広い住民の協力により支援を必要としている人に気づき見守り支えあう取り組みを推進するが必要です」となっています,"['合併', '意向調査の', '高齢福祉', '充実', '一番', '市民', '願い', 'ほか', 'アンケート調査', '高齢福祉', '充実', '上位', '今西東京', 'マンションラッシュ', '人口', '大変', '先日', '決算委員', '敬老', '予算', '高齢', '増加', '予測', '西東京高齢保健福祉計画', '推計', '後期高齢', '増加', '前期高齢', '増加', '加速', '同率', '後期高齢', '前期高齢', '逆', '後期高齢', '前期高齢', '高齢', '推計', '現在', '高齢', '推計', '今年度', '推計', '伸び', '状況', '西東京', '高齢', '生活状況', '西原', '夫', '死', '妻', '認識', '芝久保', '地域', '人', '交流', '姉', '弟', '新聞報道', 'その後', '話', '耳', '孤独', '発生', 'ネットワーク', '昨日', '協力', '団体', '登録', '機能', '状態', 'さまざま', 'アンケート調査民生委員', '訪問介護保険', '見直し準備', '調査', '予定', '西東京地域福祉計画', '目標サービス利用', '支援', '対応', '現状', '課題', '周囲', '関係', '孤立', '生活', '人', '虐待', '人', '人', '福祉サービス', '対象', 'はざま', '人々', '個人', 'プライバシー', '配慮', '必要', '支援', '人', '発見', '対応', '行政', '実施', '地域', '民生委員', '児童委員', 'はじめ', '住民', '協力', '支援', '必要', '人', '取り組み', '推進', '必要']",
2,そこでお尋ねいたします独居の高齢・高齢のみの世帯における生活状況の把握と施策について()にの民生委員による訪問についてはどのにお考えでしょうか合併前には両市にの全員に民生委員が敬老を手渡していました今は節目支給となり毎年の訪問はなくなっています()地域からの孤立についての把握はどのにされているでしょうか()福祉サービスに結びついていないの要求に基づいた社会参加についてはどのな対応が検討されているでしょうか質問いたします,"['お尋ね', '独居', '高齢', '高齢', '世帯', '生活状況', '把握', '施策', '民生委員', '訪問', '考え', '合併前', '両市', '全員', '民生委員', '敬老', '今', '節目支給', '毎年', '訪問', '地域', '孤立', '把握', '福祉サービス', '要求', '社会参加', '対応', '検討']",
3,次に大きなに移ります,[],
4,今は大変な健康ブームですテレビでも雑誌でも健康に関する食品体操などさまざまな情報があふれています西東京地域福祉計画でも市民アンケートから健康への市民の関心の程度を紹介していますそれによると「自分の健康に関心がある」という質問に.が「関心がある」と答えています「まあ関心がある」は.で合わせると.の人が自分の健康に何らかの関心を持っていますまた市民意識調査からは「高齢が多くなったので歩いて行ける施設または高齢が身近に入って行ける場所を設けてほしい」「プール運動施設を充実して体力増強し病気に打ちかつ」「死ぬまで健康を目指したい」などの声を紹介していますまた高齢福祉計画では新しいリハビリテーションの導入として体力を上げるを基本としてその人の活動を広げるを目指すパワーリハビリテーションの導入も検討するというが位置づけられています高齢は風邪を引いて寝込むと体力や筋力が落ちこうしたがきっかけでなかなか外出ができなくなるなど行動範囲が狭くなってしまうがありますこのな元気な高齢への施策は介護予防につながると考えていますがそこで市内にある福祉会館また老人福祉センター事業の充実と地域リハビリテーションについて質問いたします老人福祉センターの健康体操は大変人気があると聞いていますさらに充実させられないでしょうかまた福祉会館の看護の役割を充実してはどうでしょうか地域リハビリテーションの検討状況をお聞かせください,"['今', '大変', '健康ブーム', 'テレビ', '雑誌', '健康', '食品体操', 'さまざま', '情報', '西東京地域福祉計画', '市民アンケート', '健康', '市民', '関心', '程度', '紹介', '自分', '健康', '関心', '関心', '関心', '人', '自分', '健康', '関心', '市民意識調査', '高齢', '施設', '高齢', '身近', '場所', 'プール運動施設', '充実', '体力増強', '病気', 'かつ', '健康', '声', '紹介', '高齢福祉計画', 'リハビリテーション', '導入', '体力', '基本', '人', '活動', 'パワーリハビリテーション', '導入', '検討', '高齢', '風邪', '体力', '筋力', 'きっかけ', '外出', '行動範囲', '元気', '高齢', '施策', '介護予防', '市内', '福祉会館', '老人福祉センター事業', '充実', '地域リハビリテーション', '老人福祉センター', '健康体操', '大変人気', '充実', '福祉会館', '看護', '役割', '充実', '地域リハビリテーション', '検討状況']",
5,答弁により再質問いたします,[],
6,〔市長保谷範登壇〕,[],
7,	:◯市長（保谷範）議員の御質問に答弁をさせていただきます,[''],
8,独居高齢・高齢のみの世帯における生活状況の把握というでか御質問いただきましたひとり暮らしの高齢や高齢のみの世帯が地域ので安心して生活していける環境を整備していくは行政に課せられた重要な課題であると認識しているでございますそので民生委員はそれぞれの地域において生活困窮高齢心身障害児童母子などの援助を必要とする方々の相談指導助言などの個別援助活動を行っているでございまして多くの場面において民生委員の方々のお力をおかりするは多々あると考えているでございます高齢福祉施策の事業実施につきましては敬老の支給を初めひとり暮らしの高齢や高齢のみの世帯に対する入浴の支給などにおいて民生委員の方々に直接高齢宅を訪問していただきその相談を受けるで生活状況の把握もしていただいているでございますまた地域での在宅高齢の支援体制につきましては在宅介護支援センターが多くを担っているが実態でありましてその支援センターと民生委員との連携を図る年の懇談を開催いたしまして地域における高齢の支援体制の強化を図っているでございますあわせて本年４月からは「ささえあいネットワーク」を立ち上げまして地域ので高齢が安心して生活できる仕組みを整えているでございましてそのネットワークのでも民生委員の方々にはささえあい協力と在宅介護支援センターとのつなぎという重要な役割を担っていただいているでございますこのに地域のでの高齢の支援体制につきましては現在民生委員のだけに頼るではなく常日ごろから多方面にわたる支援体制を整えているでございます民生委員のには本当に頭の下がる思いがしているでございましてこれからも御協力を切にお願いしなければならないかと思っているでございます,"['独居高齢', '高齢', '世帯', '生活状況', '把握', 'ひとり暮らし', '高齢', '高齢', '世帯', '地域', '安心', '生活', '環境', '整備', '行政', '重要', '課題', '認識', '民生委員', 'それぞれ', '地域', '生活困窮高齢心身障害児童母子', '援助', '必要', '方々', '相談指導助言', '個別援助活動', '多く', '場面', '民生委員', '方々', 'お力', '高齢福祉施策', '事業実施', '敬老', '支給', '初めひとり暮らし', '高齢', '高齢', '世帯', '入浴', '支給', '民生委員', '方々', '直接高齢宅', '訪問', '相談', '生活状況', '把握', '地域', '在宅高齢', '支援体制', '在宅介護支援センター', '多く', '実態', '支援センター', '民生委員', '連携', '年', '懇談', '開催', '地域', '高齢', '支援体制', '強化', '本年4月', 'ネットワーク', '地域', '高齢', '安心', '生活', '仕組み', 'ネットワーク', '民生委員', '方々', '協力', '在宅介護支援センター', 'つなぎ', '重要', '役割', '地域の', '高齢', '支援体制', '現在民生委員', '日ごろ', '多方面', '支援体制', '民生委員の', '頭', '思い', '協力', 'お願い']",
9,"次にことし７月に内閣から発表されました高齢の地域社会への参加に関する意識調査においてひとり暮らしの高齢の.がふだんの近所づき合いをほとんどしていないと言っておりますこれは率に直しますとに対して.という形になるでございますけれども西東京も平成現在の高齢が,で高齢.となっておりまして毎年.から.上昇しております平成の推計では.ですなわちにが高齢となると予想されているでございます本市におきましても高齢が進むによりまして高齢だけの世帯やひとり暮らし高齢も増加すると言われておりまして高齢が安心して地域で生活が続けられるささえあいネットワークや社会福祉協議が実施しておりますふれあいのまち事業と連携して実施しているでございます問題は閉じこもりな高齢が実際の福祉の現場では社会参加するきっかけとなる要求について行政がどのに受け入れていくかは非常に難しい問題でありまして人権問題や個人情報の問題はもとより実際にかかわり合いを持っていても要求がないというでありそうした場合の処遇に苦慮しているというが実態でございますこのな状況のもと高齢が安心して安全に生活していくに行政としては深くかかわれない部分もありますが本人が希望する要求については現在行っている制度ので希望に沿う対応してまいりたいと思っているでございます現状については担当部長より答弁をさせていただきます","['ことし7月', '内閣', '発表', '高齢', '地域社会', '参加', '意識調査', 'ひとり暮らし', '高齢の', 'ふだん', '近所', '率', '形', '西東京', '平成現在', '高齢', ',', '高齢', '毎年', '上昇', '平成', '推計', '高齢', '予想', '市', '高齢', '高齢', '世帯', 'ひとり暮らし高齢', '増加', '高齢', '安心', '地域', '生活', 'ネットワーク', '社会福祉協議', '実施', 'まち事業', '連携', '実施', '問題', '高齢', '福祉', '現場', '社会参加', 'きっかけ', '要求', '行政', '非常', '問題', '人権問題', '個人情報', '問題', 'かかわり合い', '要求', '場合', '処遇', '苦慮', '実態', '状況', '高齢', '安心', '安全', '生活', '行政', '部分', '本人', '希望', '要求', '現在', '制度', '希望', '対応', '現状', '担当部長']",
