,text,Onlynouns,selectednouns
0,	まち・ひと・し創生長ビジョンこれ実現今後目標施策基本な方向それら提示まち・ひと・し創総合戦略がまとまり今後地方がみず考え責任持って戦略推進観点地域特性踏まえた地方人口ビジョンと地方総合戦略策定していくになりこ定例直前月全員協議で西東京人口ビジョン（案）とともに西東京総合戦略（中間まとめ）（案）が示がこで私が大変興味持ったは本市まで未婚対象とした結婚に希望市民意識で結婚へ意向が男性が.女性が.で非常に高い数値でと印象持っこ結婚へ意向は項目にわたってまとめた「結婚予定が」男性が.女性が.「結婚強く望んで」男性女性.「きっかけがあれば結婚したいと思って」男性.女性.「いずれは結婚したいと思って」男性.女性.「きっかけがあれば結婚したいと思って」はに「いずれは結婚したいと思って」はほぼにこういった数字が出て平成厚生労働白書若者意識では結婚相手異性友人がいない割合が男性で約女性で約報告結婚相手候補となり得る交際相手が若者は限定でがで示た近隣小平清瀬東久留米合計特殊出生が上昇に本市後半前半女性未婚は全国水準高い女性結婚意向や希望出生は全国と比べて高いにわけ人口減少に歯どめかけるも本は若い世代結婚希望かなえる支援とりわけ若者出会い提供どう取り組むお考えかお伺いいたし,"['', 'まち', 'ひと', '創生長ビジョンこれ実現今後目標施策基本', '方向それら提示まち', 'ひと', '創総合戦略', 'まとまり今後地方', '責任', '戦略推進観点地域特性', '地方人口ビジョン', '地方総合戦略策定', '定例', '前月全員協議', '西東京人口ビジョン案', '西東京総合戦略中間まとめ案', '示', 'こ', '大変興味', '本市', '未婚対象', '結婚', '希望市民意識', '結婚', '意向', '男性', '女性', '非常', '数値', '印象', '結婚', '意向', '項目', '結婚予定', '男性', '女性', '結婚', '男性女性', 'きっかけ', '結婚', '男性女性', '結婚', '男性女性', 'きっかけ', '結婚', '結婚', '数字', '平成厚生労働白書若者意識', '結婚相手異性友人', '割合', '男性', '女性', '報告結婚相手候補', '交際相手', '若者', '限定', '示', '近隣小平清瀬東久留米合計特殊出生', '上昇', '市後半前半女性未婚', '全国水準', '女性結婚意向', '希望出生', '全国', '人口減少', '歯', 'め', 'も本', '世代結婚希望', '支援', '若者出会い提供', '考えかお']",
1, いきいきミニデイ事業お尋ねいたしいきいきミニデイ事業は現在ど行われてかといいと高齢対象にボランティアでミニデイ協力が事前案内や会場設営参加高齢送迎など毎週はに続けられて事業で先日複数ミニデイ協力方々説明で対象が子どもや障害も参加方向に見直る説明がと来年４月これまでやり方ができなくなるでやめなくてはいけないではないか等々戸惑いが寄せられそこで質問いたし．いきいきミニデイ事業目的や財源実施状況お示しください．説明まで経緯や説明内容参加出た意見お示しください．説明で少なず誤解招いたがではと私は危惧し今後ど対処るかもお尋ねさせて,"['ミニデイ事業お尋ね', 'ミニデイ事業', '現在', '高齢対象', 'ボランティア', 'ミニデイ協力', '事前案内', '会場設営参加高齢送迎', '毎週', '事業', '先日複数ミニデイ協力方々説明', '対象', '子ども', '障害', '参加方向', '説明', '来年4月これ', 'やり方', '等々戸惑い', 'ミニデイ事業目的', '財源実施状況', '説明', '経緯', '説明内容参加', '意見', '説明', '誤解', '今後', '対処', 'お尋ね']",
2, 福祉用具貸与事業伺い制度概要と本市における利用状況お示しください認知に必要な徘徊感知機器利用実績お伺いいたし,"['福祉用具貸与事業伺い制度概要', '本市', '利用状況', '認知', '必要', '徘徊感知機器利用実績']",
3, 在宅で看取りお尋ねいたし問題いわゆる団塊世代が後期高齢に突入超高齢社会で今後は病院で最期迎えるが難しくなりつつ当市は在宅で看取りにど取り組むおつもりなかお伺いいたし在宅療養高齢にとりましては肺炎重症予防が大変重要になり平成月に定期接種任意接種と並行して実施していただいて肺炎球菌ワクチン接種啓発は引き続き必要と考え御所見お伺いいたし,"['在宅', 'お尋ね', '問題', '団塊世代', '後期高齢', '突入', '高齢社会', '今後', '病院', '最期', '当市', '在宅', 'おつもり', 'かお', '在宅療養高齢', '肺炎重症予防', '大変重要', '平成月', '定期接種任意接種', '並行', '実施', '肺炎球菌ワクチン接種啓発', '必要', '所見']","['在宅', '在宅', '平成月']"
4, 介護ボランティアポイント制度お尋ねいたしかねてより公明党が国会において取り上げ平成には党マニフェストに載せ本市においては岩が一貫して今に至るまで必要有効訴え続けさせてこ介護ボランティアポイント制度本年４月実施に向け準備が進められ御尽力いただいて高齢支援皆様はじめ社会福祉協議全て関係皆様に心より御礼申し上げ質問は介護ボランティアポイント制度設計と進捗状況お尋ねいたし,"['介護ボランティアポイント制度お尋ね', '公明党', '国会', '取り上げ平成', '党マニフェスト', '市', '岩', '一貫', '今', '必要有効', '介護ボランティアポイント制度本年4月実施', '準備', '尽力', '心', '御礼', '介護ボランティアポイント制度設計', '進捗状況お尋ね']",
5, 都道沿線東伏見地域で月（土曜日）に発生し交通事故これは東伏見小学校敷地に車が飛び込む非常に激しいで事故通学安全対策教育委員対応お伺いいたし,"['都道沿線東伏見地域', '月土曜日', '発生', '交通事故これ', '東伏見小学校敷地', '車', '非常', '事故通学安全対策教育委員対応']",
6,最後質問は昨日小峰質問と重なるもが西東京不登校児童生徒現況分析対策課題お伺いいたし,"['西東京', '登校児童生徒現況分析対策課題']",
7,質問とさせて,[],
8,〔市長　登壇〕,[],
9,	:◯市長（）　一般質問初めに総合戦略お答えし総合戦略策定に当たり実施した市民意識では特に女性において結婚望むが多いが出女性全体割合見ましても全国平均高くなっ若者出会いにつきましてはいわゆる婚活支援で前より都内自治体においても取り組んで実績がほか現在地方創流れで改めて注目異性とコミュニケーション高めるセミナー開催自治体も見受けられ西東京としましても今回総合戦略基本目標で「次世代が将来描ける」として次世代結婚出産子育て応援施策検討してところでまして婚活支援につきましては今後実情踏まえたで何らか対応図る必要も出てくるではないかと思っ今後につきましては既存事業やイベントで工夫含めまして他自治体で実施状況や課題・問題検証で市として方向定めてまいりたいと考え,"['', '総合戦略策定', '実施', '市民意識', '女性', '結婚', '女性全体', '全国平均', '若者出会い', '婚活支援', '前', '都内自治体', '実績', 'ほか現在地方創流れ', '注目異性', 'コミュニケーション', 'セミナー開催自治体', '西東京', '今回総合戦略基本目標', '次世代', '将来', '次世代結婚出産子育て応援施策検討', '婚活支援', '今後実情', '対応', '必要', '今後', '既存事業', 'イベント', '工夫', '自治体', '実施状況', '課題', '問題検証', '市', '方向']",
10,"いきいきミニデイ事業お答えしいきいきミニデイ事業につきましては高齢対象として地域ミニデイ協力が介護予防や生きがい目的として行うレクリエーション活動提供し高齢孤独解消心身機能維持及び向上図り社会とつながり深める目的とした事業で財源は東京高齢社会対策市町村包括補助活用し平成３月現在団体,が利用し現在実施しいきいきミニデイ事業高齢方々が誰でも気楽に通い集える場として新総合事業における住民主体に移行素案意見交換でお示しいたし意見交換は初旬に開催し団体団体方々に参加してさまざまな御意見いただいたでそこで主な意見としてはこれまでど存続してほしい御意見が多く市といたしましては住民主体による通いとして身近な地域資源活用したいと考えいきいきミニデイほかふれまちサロン縁側プロジェクトも移行検討してき皆様御意見など再度検討し慎重に制度設計進めてまいり","['ミニデイ事業', '高齢対象', '地域ミニデイ協力', '介護予防', '生きがい目的', 'レクリエーション活動提供', '高齢孤独解消心身機能維持', '向上', '社会', '目的', '事業', '財源', '東京高齢社会対策市町村包括補助活用', '平成3月現在団体,', '利用', '現在実施', 'ミニデイ事業高齢方々', '気楽', '場', '総合事業', '住民主体', '移行素案意見交換', '意見交換', '初旬', '開催', '団体団体方々', '参加', 'さまざま', '意見', '主', '意見', '存続', '意見', '市', '住民主体', '通い', '身近', '地域資源活用', 'ミニデイほか', 'まちサロン縁側プロジェクト', '移行検討', '意見', '検討', '慎重', '制度設計']",['総合事業']
