,text,Onlynouns,selectednouns
0,	市長政治姿勢市長は就任一貫して健康施策中心に据え市政運営こられ改めて施策中心がなぜ健康なか就任健康施策により何が達成できたか西東京健康テーマに何進めていかなければならか市長御見解,"['', '就任一貫', '健康施策中心', '市政運営', '施策中心', '健康', '就任健康施策', '達成', '西東京健康テーマ', '見解']",
1,新型コロナ感染対策新型コロナウイルス感染流行拡大に伴いや東京超える補助積極に活用しこ特にまち健康守る市内経済回復に必要な予算投じてきたかとまで取り組みほか今後必要となる政策,"['新型コロナ感染対策新型コロナウイルス感染流行拡大', '東京', '補助積極', '活用しこ', 'まち健康', '市内経済回復', '必要', '予算', 'ほか今後必要', '政策']",
2,後期基本計画総合計画策定地域方々は駅など民間施設による行政地域情報発信など活用市民情報共有意見もあった本市は後期基本計画に掲げる施策１つであるまち魅力創造分野シティプロモーションに積極に取り組むとまで駅前情報発信拠点整備やまち歩きイベント開催もがまで実績現状,"['後期基本計画総合計画策定地域方々', '駅', '民間施設', '行政地域情報発信', '活用市民情報共有意見', '市', '後期基本計画', '施策1', 'まち魅力創造分野シティプロモーション', '積極', '駅前情報発信拠点整備', 'まち歩きイベント開催', '実績現状']",
3,"切れ目支援と情報発信月市に掲載されたが月子育て世代包括支援センターが開設され運営が始まり紙面に妊娠コンシェルジュ機能に期待毎年約,子どもが生まれる本市妊娠切れ目支援はまち取り組みは立ち上げたセンター方向とセンターつながりに向け新たに構築子育て応援アプリ内容と登録状況","['切れ目支援', '情報発信月市', '掲載', '月子育て世代包括支援センター', '開設', '運営', '紙面', '妊娠コンシェルジュ機能', '期待毎年', ',子ども', '本市妊娠切れ目支援', 'まち取り組み', 'センター方向', 'センターつながり', '新た', '構築子育て応援アプリ内容', '登録状況']",
4,西東京商工会事務所西東京商工会では令和元年度通常総代事務所対応は会員皆様丁寧な議論方向決定取り決めが商工会事務所委員設置し検討進めてきたと認識して現在商工会に検討状況はど程度まで把握かお伺い,"['西東京商工会事務所西東京商工会', '令和', '年度通常総代事務所対応', '議論方向決定取り決め', '商工会事務所委員設置', '検討', '認識', '現在商工会', '検討状況', '程度', '把握', '伺い']",
5,西東京プレミアム応援事業し新型コロナウイルス感染拡大により影響受けている事業方々支援他自治体がプレミアム商品事業やキャッシュレス決済活用事業実施で本市では市内事業応援いとる市民皆様に幅広くかつ直接的に利用仕組み西東京商工会と連携して構築し事業実施に向けて取り組んでこられたと認識して既に事業は開始してが改めて応援販売方法や購入実績さらに市民方々寄せられている意見などがらお答えください,"['西東京プレミアム応援事業', '新型コロナウイルス感染拡大', '影響', '事業方々支援', '自治体', 'プレミアム商品事業', 'キャッシュレス決済活用事業実施', '本市', '市内事業応援', '直接的', '利用仕組み西東京商工会', '連携', '構築', '事業実施', '認識', '事業', '開始', '応援販売方法', '購入実績', '市民方々', '意見']",
6,市民交流施設お伺い市民交流施設は平成３月に施設方針取りまとめられたは承知してこ方針で施設管理運営形態に見直し方向では現在有人管理となっている地域交流施設は一定施設規模や機能有文化振興が継続して所管となって一方で無人管理となっている型交流施設ほか併設で無人管理保谷町東ひばりが丘及び緑町市民集会は地域住民交流施設働コミュニティに所管移す今般新型コロナウイルス感染感染拡大により地域コミュニティが従来ど手法では成り立たなるが懸念されてこような状況本市は地域コミュニティハードソフト両面見直しが必要になると今回は市民交流施設地域コミュニティ維持し醸成していくにどに活用していくなかそ御見解お伺い,"['市民交流施設', '伺い市民交流施設', '平成3月', '施設方針', '承知', 'てこ方針', '施設管理運営形態', '見直し方向', '現在有人管理', '地域交流施設', '一定施設規模', '機能', '文化振興', '継続', '所管', '無人管理', '型交流施設ほか併設', '無人管理保谷町東ひばりが丘', '緑町市民集会', '地域住民交流施設働コミュニティ', '所管', '今般新型コロナウイルス感染感染拡大', '地域コミュニティ', '従来', '手法', '懸念', '状況本市', '地域コミュニティハードソフト両面見直し', '必要', '今回', '市民交流施設地域コミュニティ維持', '醸成', '活用', '見解', '伺い']",
7,とさせて,[],
8,〔市長登壇〕,[],
9,	:市長（）ごう郎初めに政治姿勢お答えしは平成２月市長就任に当たり大きく４つ施策「もっと健康もっと元気に」「災害に強い快適な都市インフラ整備」「次世代へ責任しっかり果たす」そして「あなたと変えるいっしょに変える」掲げさせてこ４つ政策テーマ全てには「健康」視点持ってまで間市政前に進めて全て施策に「健康」観点平成７月に世界保健機関（ＷＨＯ）が提唱健康都市連合に加盟しまち健康に職員にも政策議論で問いかけてきた例えば道路整備につきましても整備により歩きやすい出かけやすいまちとなるでまち安全・安心向上とともに歩くで人健康増進にもつながるではかとて先月には本市が掲げる健康応援都市に賛同して形で大塚製薬株式会社で健康応援連携協定締結させて今後まち進めていくにはより多く方々かかわり結びや強い地域つくっていく必要があるとては行政だけで進められるではませんが地域にお住まい方々同士がつながり持てるに環境進めるとともに行政もそ輪中に飛び込み一緒になって課題解決が重要であるとて人健康より高めるとともに地域や健康で暮らしやすい場所そして子ど居場所が多くあるまちそな次世代につながるができるまちが進められればとて,"['', '郎初め', '当たり', '施策', '健康', '元気', '災害', '快適', '都市インフラ整備', '次世代', '責任', 'いっしょ', '政策テーマ全て', '健康', '視点', '間市政前', '全て施策', '健康', '観点平成7月', '世界保健機関WHO', '提唱健康都市連合', '加盟', 'まち健康', '職員', '政策議論', '道路整備', '整備', 'まち', 'まち安全', '安心向上', '人健康増進', '先月', '市', '健康応援都市', '賛同', '形', '大塚製薬株式会社', '健康応援連携協定締結', '今後まち', '方々', '結び', '地域', '必要', '行政', '地域', '住まい方々同士', '環境', '行政', 'そ輪中', '飛び込み一緒', '課題解決', '重要', '人健康', '地域', '健康', '場所', '居場所', 'まちそ', '次世代', 'まち']",['災害']
10,新型コロナウイルス感染対策お答えしし１月に国内で感染が判明して以降感染流行状況が続いて収束兆しは見えず先行きに大変不安な状況に本市とましては人命健康守るまち健康にしてふだん生活でも早く取り戻せる市内経済状況にも注視しながらこ対応してきた特に市内経済へ対策とましては賃貸店舗へ家賃補助事業創設や国持続給付対象となら市内中小企業個人事業方々に対応援資金助成事業創設さらには駅前情報発信プロジェクト事業一環関係事業と連携市内農業支援も市内飲食で利用できる西東京プレミアム応援本年月販開始して消費喚起で市内事業皆様応援して今後に新型コロナウイルス感染へ対策でが先月には東京都内飲食中心に再び営業自粛要請が行われたでも早くこ感染が収束手洗いや飛沫防止といった基本な感染予防徹底が何よりも重要でが今後供給が見込まれるワクチン接種に体制も庁一丸となって対応できる進めて,"['1月', '国内', '感染', '判明', '以降感染流行状況', '収束兆し', '先行き', '大変不安', '状況', '市', '人命健康', 'まち健康', 'ふだん生活', '市内経済状況', '注視', 'こ対応', '市内経済', '対策', '賃貸店舗', '家賃補助事業創設', '国持', '給付対象', '市内中小企業個人事業方々', '対応援資金助成事業創設', '駅前情報発信プロジェクト事業一環関係事業', '連携市内農業支援', '市内飲食', '利用', '西東京プレミアム応援本年月販開始', '消費喚起', '今後', '新型コロナウイルス感染', '対策', '先月', '東京都内飲食中心', '営業自粛要請', 'こ感染', '収束手洗い', '飛沫防止', '基本', '感染予防徹底', '重要', '今後供給', 'ワクチン接種', '体制', '庁一丸', '対応']",['新型コロナウイルス感染']
11,まち魅力創造お答えし平成に策定第総合計画・後期基本計画におきましてそ施策１つにまち魅力創造掲げ地域資源生かしながら市内はもちろん市外方々に対しましても積極にシティプロモーションに取り組むと令和３月には民間事業協力得ながら地方創推進交付活用駅前情報発信プロジェクト事業田無北口で情報発信拠点整備アンテナショップや公開スタジオによるまちテナ西東京開設田無北口商業ビル壁面に設置大型ＬＥＤビジョンＷｉＦｉ環境もあわせて整備こによりましてまでとは違う特色ある駅周辺環境が創出できたではかとてら環境生かしながら魅力ある西東京市内方々にお伝えしていければとて本市みならず多摩北部広域行政にまち歩きイベント実施近隣自治体連携とりわけ多摩科学ベースと事業も実施して引き続き本市魅力向上に努めてが対外な魅力発信だけでは地域にお住まい皆様が協力して地域活動に取り組む姿などみずが住む地域よ引き出せる今後も魅力再認識に努めて,"['平成', '策定', '総合計画', '後期基本計画', 'そ施策1', '魅力創造', '地域資源', '市内', '市外方々', '積極', 'シティプロモーション', '令和3月', '民間事業協力', '地方創推進交付活用駅前情報発信プロジェクト事業田無北口', '情報発信拠点整備アンテナショップ', '公開スタジオ', 'まちテナ西東京開設田無北口商業ビル壁面', '設置大型LEDビジョンWF環境', '整備こ', '特色', '駅周辺環境', '創出', '環境', '魅力', '西東京市内方々', 'お伝え', '市', '多摩北部広域行政', '歩きイベント実施近隣自治体連携', '多摩科学ベース', '事業', '実施', '本市魅力向上', '対外', '魅力発信', '地域', '協力', '地域活動', '姿', '地域', '今後', '魅力', '認識']",
12,"切れ目支援と情報発信お答えし子育て世代包括支援センターに妊娠・出産・育児迎える全て妊産婦及び乳幼児とそ御家庭に対しまして切れ目支援目指す目的に月に開設本センター愛称としましては妊娠出産・子育てコンシェルジュ「いこいこ」とさせてには市民皆様が妊娠契機に市情報専門へ相談に気軽にみよう聞いてみよう触れてみようとイメージしていただけるな込めてさせて本センターにおきましては子育て関連施設など地域基盤と連携図りながら市民皆様子育てに寄り添う面整備進めてこセンター開設に合わせ新たな情報発信取り組み子育て応援アプリ運用開始させて本アプリでは妊娠本市子育てに情報より簡単に御確認いただける妊娠・出産予防接種医療機関お出かけなど種類検索だけではお住まい住所施設ごイベントなどによる検索も可能となってアプリ構築に当たりましてはデザインに加えまで本市母子保健事業で市民皆様伺ってニーズより多く反映できる担当保健が持つ情報集約し調整して月現在アプリ登録にまでワクチンマネージャー御利用されていた登録含め,となって引き続き妊婦へ全件面接機会捉え丁寧に周知させて地域つながり構築に向けた取り組み進めて","['切れ目支援', '子育て世代包括支援センター', '妊娠', '出産', '育児', '全て妊産婦', '乳幼児とそ', '家庭', '切れ目支援', '目的', '月', '開設', 'センター愛称', '妊娠出産', '子育てコンシェルジュ', 'いこいこ', '妊娠契機', '市情報専門', '相談', '気軽', 'イメージ', 'センター', '子育て関連施設', '地域基盤', '連携', '面整備', 'センター開設', '新た', '情報発信取り組み子育て応援アプリ運用開始', 'アプリ', '妊娠本市子育て', '情報', '簡単', '確認', '妊娠', '出産予防接種医療機関お出かけ', '種類検索', '住まい住所施設', 'イベント', '検索', '可能', 'アプリ構築', 'デザイン', '本市母子保健事業', 'ニーズ', '反映', '担当保健', '情報集約', '調整', '月現在アプリ登録', 'ワクチンマネージャー', '利用', '登録', ',', '妊婦', '件面接機会', '丁寧', '周知', '地域つながり構築', '取り組み']",
