,text,Onlynouns,selectednouns
0,	地域防災の強化について。()西東京地域防災計画の進捗状況について。この質問は既に複数の同僚より取り上げられており、西東京の地域防災計画における主な見直しのについて、災害対策本部の設置を、役割に応じ部課単位とする、避難運営を見直し福祉避難の設置、帰宅困難対応の一時滞在の設置の充足を図る、一時救護の見直しを行うと御答弁がありました。ここで指摘させていただきたいは、東京の方針でも、これまでの市議会の防災に関する質問の答弁でも、市民の自助を重視すると言ってきたのに、なぜ地域防災計画の見直しにこの自助のが加味されていないかというです。地域防災のどの部分を自助に頼らざるを得ないか位置づけが不明瞭であれば市民は動きがありません。まずは計画素案を幅広く市民と共有し、市民の自助の醸成にどの部分をつなげていくかというが非常に重要であると考えております。,"['', '地域防災', '強化', '西東京地域防災計画', '進捗状況', '複数', '同僚', '西東京', '地域防災計画', '主', '見直し', '災害対策本部', '設置', '役割', '部課単位', '避難運営', '福祉避難', '設置', '帰宅困難対応', '一時滞在', '設置', '充足', '一時救護', '見直し', '指摘', '東京', '方針', '市議会', '防災', '市民', '自助', '重視', '地域防災計画', '見直し', '自助の', '加味', '地域防災', '部分', '自助', '位置づけ', '不明瞭', '市民', '動き', '計画素案', '市民', '共有', '市民', '自助', '醸成', '部分', '非常', '重要']","['地域防災計画', '自助', '地域防災計画', '自助', '自助']"
1,東日本大震災を経て、どの自治体も行政のできるには限界があると実感しております。９月に仙台の市長からさまざまな防災対策に対してお話があったではありますが、自治体には限界があると真剣におっしゃっていたが忘れられません。住民の自助・共助、そして公の公助の連携なくして地域防災計画は生きた計画にはなりませんので、素案の検討段階から自助・共助の主役となる市民参加は極めて重要です。来年２月にパブリックコメントを行うはこれまでの答弁で把握しておりますが、さらに幅広い層を対象とした市民懇談をぜひ開催するべきであると思いますが、取り組みを強く要望いたし、検討状況をお伺いしたいと思います。,"['東日本大震災', '自治体', '行政', '限界', '実感', '9月', '仙台', 'さまざま', '防災対策', 'お話', '自治体', '限界', '真剣', '住民', '自助', '共助', '公', '公助', '連携', '地域防災計画', '計画', '素案', '検討段階', '自助', '共助', '主役', '市民参加', '重要', '来年2月', 'パブリックコメント', '把握', '層', '対象', '市民懇談', '開催', '取り組み', '要望', '検討状況', '伺い']","['東日本大震災', '限界', '限界', '自助', '共助', '地域防災計画', '自助', '共助', 'パブリックコメント']"
2,()業務継続計画（ＢＣＰ）の活用について。地域防災計画とともに、業務継続計画（ＢＣＰ）の見直しも行われる予定であると思います。ＢＣＰは発災のフェーズに従って、どの業務を最優先に行っていくかというマニュアルです。その策定は本来、各部で実際に業務を行っているスタッフの手によって業務棚卸しをし、仕分け、トリアージを行うによって行うべきであります。よって、過度のコンサル委託は行うべきではなく、職員の手によってつくられるべきでありますが、どのな策定を検討されているかお答えください。,"['業務継続計画BCP', '活用', '地域防災計画', '業務継続計画BCP', '見直し', '予定', 'BCP', '発災', 'フェーズ', '業務', '優先', 'マニュアル', '策定', '本来', '各部', '業務', 'スタッフ', '手', '業務棚卸し', '仕分け', 'トリアージ', '過度', 'コンサル委託', '職員', '手', '策定', '検討']",['地域防災計画']
3,()災害医療計画と医療備蓄について。先般、東京の保健福祉が災害医療体制を公表いたしましたが、私も月に行われました日本自治体危機管理学会の研究大会で都の防災担当課長のお話を聞いてまいりました。従来のスキームから大きく変更になったが保健医療、西東京にとっては北多摩北部医療が非常に大きな役割を果たすになったです。北多摩北部医療では、災害拠点中核病院として公立昭和病院が大きな役割を果たすになり、こちらに地域災害医療連携会議が設けられて、構成の連携が非常に重要になります。西東京は連携強化に向けてどのに努めていくかお答えいただきたいと思います。また、区市町村に災害医療コーディネーターを置くになりましたが、西東京ではどのなが就任するかお答えください。さらに、災害のさまざまなフェーズにおいて医薬品や医療物資のニーズは刻々と変化してまいります。薬剤師との協定があるは理解しておりますが、この連携強化によりフェーズに応じた医薬品の備蓄を行う必要があると思います。この件に関してのスキームはどのに検討されているかお答えください。,"['災害医療計画', '医療備蓄', '先般', '東京', '保健福祉', '災害医療体制', '公表', '月', '日本自治体危機管理学会', '研究大会', '都', '防災担当課長', 'お話', '従来', 'スキーム', '変更', '保健医療', '西東京', '北多摩北部医療', '非常', '役割', '北多摩北部医療', '災害拠点中核病院', '公立昭和病院', '役割', '地域災害医療連携会議', '構成', '連携', '非常', '重要', '西東京', '連携強化', 'かお', '区市町村', '災害医療コーディネーター', '西東京', '就任', '災害', 'さまざま', 'フェーズ', '医薬品', '医療物資', 'ニーズ', '変化', '薬剤師', '協定', '理解', '連携強化', 'フェーズ', '医薬品', '備蓄', '必要', '件', 'スキーム', '検討']","['災害', '備蓄']"
4,()防災市民組織とコミュニティの醸成について。先ほども申し述べましたが、自治体の大災害には、行政のできるには限界があり、市民おおの力の結集が非常に重要になります。自治・町内の組成が極めて低い現状であっても、防災を核としたコミュニティは今後も十分に可能のある分野だと感じております。防災市民組織の促進もそうですが、もう少し緩やかな防災コミュニティをつくるも可能であると思います。地域コミュニティ検討委員ではどのに取り上げられているでしょうかお答えをいただきたいと思います。,"['防災市民組織', 'コミュニティ', '醸成', '先ほど', '自治体', '災害', '行政', '限界', '市民', 'おの力', '結集', '非常', '重要', '自治', '町内', '組成', '現状', '防災', '核', 'コミュニティ', '今後', '十分', '可能', '分野', '防災市民組織', '促進', '緩やか', '防災コミュニティ', '可能', '地域コミュニティ検討委員']","['災害', '限界']"
5,()後方支援としての想定について。先般、東京湾北部地震と多摩直下地震に関する被害想定が出され、西東京も震度の地域があるにしても、倒壊、焼失件数では周辺他市に比べても比較的低い想定となっているがわかりました。もちろん、想定にとらわれるなというが危機管理の原点でありますので、安心してはならないというが原則ですが、一方で考えなくてはならないが、大きな被害を受けたの地域の後方支援基地としての役割です。私は月、全国都市問題会議の帰りに岩手一関にお邪魔させていただき、東日本大震災の被災の後方支援についてお話を伺ってまいりました。一関では、みずからの自治体も断水や倒壊被害を抱えました被災でありながら、甚大な被害を受けた沿岸地域の後方支援を同時に行って並々ならぬ御苦労をされており、頭の下がる思いでした。翻って、の被害想定を見れば、西東京にとっても他人事ではありません。地域防災計画や業務継続計画のに、の甚大被害を想定した後方支援計画も改めて盛り込むべきであると考えますが、見解を求めます。,"['後方支援', '想定', '先般', '東京湾北部地震', '多摩直下地震', '被害想定', '西東京', '震度', '地域', '倒壊', '焼失件数', '周辺', '市', '想定', '想定', '危機管理', '原点', '安心', '原則', '被害', '地域', '後方支援基地', '役割', '月', '全国都市問題会議', '帰り', '岩手一関', '邪魔', '東日本大震災', '被災', '後方支援', 'お話', '一関', 'みずから', '自治体', '断水', '倒壊被害', '被災', '甚大', '被害', '沿岸地域', '後方支援', '御苦労', '頭', '思い', '被害想定', '西東京', '人事', '地域防災計画', '業務継続計画', '甚大被害', '想定', '後方支援計画', '見解']","['東日本大震災', '地域防災計画']"
6,大きな、西東京の市民働に対する姿勢について。()市民働に対する根本な考え方について。市民働の推進は、市政の最大の成果の１つであると評価しております。将来にわたる市政運営になくてはならない市民働の分野であり、この分野を進めていただいたには感謝をしております。平成に働の基本方針が公表されて以来、さまざまなすばらしい活動が醸成されてまいりました。しかし、ここに来て、多くの市民のから働を行うで窮屈な思いをしているという御意見をちょうだいするになりました。第定例の質問でもお伝えいたしましたが、市民働はパートナーシップによって前進するなですから、市民団体が伸び伸びと活躍できる環境は非常に重要だと考えます。なぜここに来て窮屈な思いをしていると聞くになったか。思い当たるがあればお答えいただきたいと思います。,"['西東京', '市民働', '姿勢', '市民働', '根本', '考え方', '市民働', '推進', '市政', '最大', '成果', '評価', '将来', '市政運営', '市民働', '分野', '分野', '感謝', '平成', '働', '基本方針', '公表', '以来', 'さまざま', '活動', '醸成', '多く', '市民の', '働', '窮屈', '思い', '意見', 'ちょうだい', '定例', 'お伝え', '市民働', 'パートナーシップ', '前進', '市民団体', '活躍', '環境', '非常', '重要', '窮屈', '思い']",
7,()働事例について。現在策定の働事例について、事業が取り上げられる基準はどのになっているか明らかにしてほしいというお声をお聞きしてまいりました。私も大田など多くの自治体の働事例を拝見してきておりますが、こういう働なら自分にもできるというやる気を喚起させるツールとして非常に重要であると考えております。働事例に取り上げられる基準を明確にし、分野のキーワードを示しながら、同時に市民の興味を喚起するな事例をつくり上げていただきたいと思いますが、どのな基準によって取り上げられるかというの御見解をお伺いしたいと思います。,"['働事例', '現在策定', '働事例', '事業', '基準', '明らか', '声', '大田', '多く', '自治体', '働事例', '拝見', '働', '自分', 'やる気', '喚起', 'ツール', '非常', '重要', '働事例', '基準', '明確', '分野', 'キーワード', '市民', '興味', '喚起', '事例', '基準', '見解', '伺い']",
8,地域包括ケアと高齢、その家族の支援体制の強化について。この()と()の質問に関してですが、高齢生活状況調査につきましては、現在民生委員が調査を回収しているな段階であると聞き、まだその質問の集計がとれていないというなので、このは割愛させていただきます。,"['地域包括ケア', '高齢', '家族', '支援体制', '強化', '高齢生活状況調査', '現在民生委員', '調査', '回収', '段階', '集計', '割愛']",
9,また、ケアラー支援についてですが、昨日のの一般質問により大体のがわかりましたので、今回この質問も割愛させていただき、次回に回させていただきたいと思います。,"['ケアラー支援', '昨日', '大体の', '今回', '割愛', '次回']",
